country,year,total_population,population_density
Tanzania,2019,58005461,65.484
United States Virgin Islands,2019,104579,298.797
US,2019,329064917,35.974
United States of America (and dependencies),2019,33238272,36.295
Upper-middle-income countries,2019,263895843,47.516
Uruguay,2019,3461731,19.779
Uzbekistan,2019,32981715,77.531
Vanuatu,2019,299882,24.601
Venezuela,2019,28515829,32.329
Vietnam,2019,96462108,311.098
WB region: East Asia and Pacific (excluding high income),2019,2129754531,133.831
WB region: Europe and Central Asia (excluding high income),2019,421035757,18.620
WB region: Latin America and Caribbean (excluding high income),2019,569811869,34.991
WB region: Middle East and North Africa (excluding high income),2019,389753191,45.105
WB region: South Asia (excluding high income),2019,1835297503,384.631
WB region: Sub-Saharan Africa (excluding high income),2019,1106864204,46.867
WHO Regions,2019,7668888226,59.340
WHO: African region (AFRO),2019,1091758856,46.247
WHO: Americas (AMRO),2019,100995013,26.389
WHO: Eastern Mediterranean Region (EMRO),2019,712276291,56.340
WHO: European Region (EURO),2019,930166618,34.399
WHO: South-East Asia region (SEARO),2019,2001946277,309.953
WHO: Western Pacific region (WPRO),2019,1922790054,90.626
Wallis and Futuna Islands,2019,11436,81.686
West African Economic and Monetary Union (UEMOA),2019,127107468,36.670
Western Africa,2019,391440147,64.551
Western Asia,2019,275324793,57.299
Western Europe,2019,195522412,180.239
Western European and Others Group (WEOG),2019,919088423,29.497
Western Sahara,2019,582458,2.190
World,2019,7713468205,59.291
World Bank Regional Groups (developing only),2019,6452517055,70.258
Yemen,2019,29161922,55.234
Zambia,2019,17861034,24.026
Zimbabwe,2019,14645473,37.858
